issue_day,violation,violations_count,amount_due
2024-01-29,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-01-29,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-01-30,MOBILE BUS LANE VIOLATION,539,0.0
2024-01-30,NO STAND TAXI/FHV RELIEF STAND,25,0.0
2024-01-30,MISUSE PARKING PERMIT,18,0.0
2024-01-30,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-01-30,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-01-31,MOBILE BUS LANE VIOLATION,540,0.0
2024-01-31,MISUSE PARKING PERMIT,19,0.0
2024-01-31,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-01-31,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-01-31,NO PARKING-EXC. DSBLTY PERMIT,9,0.0
2024-02-01,MOBILE BUS LANE VIOLATION,564,0.0
2024-02-01,MISUSE PARKING PERMIT,25,0.0
2024-02-01,NO PARKING-EXC. DSBLTY PERMIT,17,0.0
2024-02-01,FRAUDULENT USE PARKING PERMIT,14,0.0
2024-02-01,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-02-02,MOBILE BUS LANE VIOLATION,622,0.0
2024-02-02,MISUSE PARKING PERMIT,17,0.0
2024-02-02,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-02-02,NO PARKING-EXC. DSBLTY PERMIT,14,0.0
2024-02-02,FRAUDULENT USE PARKING PERMIT,8,0.0
2024-02-03,MOBILE BUS LANE VIOLATION,241,0.0
2024-02-03,NO STAND TAXI/FHV RELIEF STAND,35,0.0
2024-02-03,MISUSE PARKING PERMIT,7,0.0
2024-02-03,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-02-03,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-02-04,MOBILE BUS LANE VIOLATION,171,0.0
2024-02-04,NO STAND TAXI/FHV RELIEF STAND,44,0.0
2024-02-04,MISUSE PARKING PERMIT,6,0.0
2024-02-04,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-02-04,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-02-05,MOBILE BUS LANE VIOLATION,482,0.0
2024-02-05,MISUSE PARKING PERMIT,26,0.0
2024-02-05,FRAUDULENT USE PARKING PERMIT,21,0.0
2024-02-05,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-02-05,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-02-06,MOBILE BUS LANE VIOLATION,394,0.0
2024-02-06,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-02-06,MISUSE PARKING PERMIT,14,0.0
2024-02-06,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-02-06,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-02-07,MOBILE BUS LANE VIOLATION,466,0.0
2024-02-07,MISUSE PARKING PERMIT,14,0.0
2024-02-07,NO PARKING-EXC. DSBLTY PERMIT,9,0.0
2024-02-07,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-02-07,FRAUDULENT USE PARKING PERMIT,4,0.0
2024-02-08,MOBILE BUS LANE VIOLATION,470,0.0
2024-02-08,NO STAND TAXI/FHV RELIEF STAND,20,0.0
2024-02-08,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-02-08,MISUSE PARKING PERMIT,10,0.0
2024-02-08,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-02-09,MOBILE BUS LANE VIOLATION,503,0.0
2024-02-09,MISUSE PARKING PERMIT,19,0.0
2024-02-09,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-02-09,FRAUDULENT USE PARKING PERMIT,7,0.0
2024-02-09,NO PARKING-EXC. DSBLTY PERMIT,7,0.0
2024-02-10,MOBILE BUS LANE VIOLATION,186,0.0
2024-02-10,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-02-10,MISUSE PARKING PERMIT,6,0.0
2024-02-10,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-02-10,FRAUDULENT USE PARKING PERMIT,1,0.0
2024-02-11,MOBILE BUS LANE VIOLATION,206,0.0
2024-02-11,NO STAND TAXI/FHV RELIEF STAND,38,0.0
2024-02-11,MISUSE PARKING PERMIT,7,0.0
2024-02-11,NO PARKING-EXC. DSBLTY PERMIT,2,0.0
2024-02-12,MOBILE BUS LANE VIOLATION,485,0.0
2024-02-12,MISUSE PARKING PERMIT,22,0.0
2024-02-12,FRAUDULENT USE PARKING PERMIT,17,0.0
2024-02-12,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-02-12,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-02-13,MOBILE BUS LANE VIOLATION,328,0.0
2024-02-13,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-02-13,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-02-13,MISUSE PARKING PERMIT,3,0.0
2024-02-13,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-02-14,MOBILE BUS LANE VIOLATION,431,0.0
2024-02-14,NO STAND TAXI/FHV RELIEF STAND,17,0.0
2024-02-14,MISUSE PARKING PERMIT,16,0.0
2024-02-14,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-02-14,NO PARKING-EXC. DSBLTY PERMIT,9,0.0
2024-02-15,MOBILE BUS LANE VIOLATION,464,0.0
2024-02-15,MISUSE PARKING PERMIT,31,0.0
2024-02-15,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-02-15,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-02-15,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-02-16,MOBILE BUS LANE VIOLATION,532,0.0
2024-02-16,MISUSE PARKING PERMIT,16,0.0
2024-02-16,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-02-16,NO STAND TAXI/FHV RELIEF STAND,9,0.0
2024-02-16,NO PARKING-EXC. DSBLTY PERMIT,8,0.0
2024-02-17,MOBILE BUS LANE VIOLATION,157,0.0
2024-02-17,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-02-17,MISUSE PARKING PERMIT,4,0.0
2024-02-17,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-02-17,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-02-18,MOBILE BUS LANE VIOLATION,143,0.0
2024-02-18,NO STAND TAXI/FHV RELIEF STAND,40,0.0
2024-02-18,FRAUDULENT USE PARKING PERMIT,3,0.0
2024-02-18,MISUSE PARKING PERMIT,3,0.0
2024-02-19,MOBILE BUS LANE VIOLATION,463,0.0
2024-02-19,NO STAND TAXI/FHV RELIEF STAND,15,0.0
2024-02-19,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-02-19,MISUSE PARKING PERMIT,4,0.0
2024-02-19,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-02-20,MOBILE BUS LANE VIOLATION,332,0.0
2024-02-20,NO STAND TAXI/FHV RELIEF STAND,18,0.0
2024-02-20,MISUSE PARKING PERMIT,16,0.0
2024-02-20,FRAUDULENT USE PARKING PERMIT,11,0.0
2024-02-20,NO PARKING-EXC. DSBLTY PERMIT,6,0.0
2024-02-21,MOBILE BUS LANE VIOLATION,421,0.0
2024-02-21,MISUSE PARKING PERMIT,18,0.0
2024-02-21,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-02-21,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-02-21,NO PARKING-EXC. DSBLTY PERMIT,8,0.0
2024-02-22,MOBILE BUS LANE VIOLATION,428,0.0
2024-02-22,MISUSE PARKING PERMIT,15,0.0
2024-02-22,FRAUDULENT USE PARKING PERMIT,13,0.0
2024-02-22,NO STAND TAXI/FHV RELIEF STAND,11,0.0
2024-02-22,NO PARKING-EXC. DSBLTY PERMIT,4,0.0
2024-02-23,MOBILE BUS LANE VIOLATION,545,0.0
2024-02-23,MISUSE PARKING PERMIT,16,0.0
2024-02-23,NO STAND TAXI/FHV RELIEF STAND,12,0.0
2024-02-23,FRAUDULENT USE PARKING PERMIT,6,0.0
2024-02-23,NO PARKING-EXC. DSBLTY PERMIT,5,0.0
2024-02-24,MOBILE BUS LANE VIOLATION,204,0.0
2024-02-24,NO STAND TAXI/FHV RELIEF STAND,31,0.0
2024-02-24,FRAUDULENT USE PARKING PERMIT,10,0.0
2024-02-24,MISUSE PARKING PERMIT,8,0.0
2024-02-24,NO PARKING-EXC. DSBLTY PERMIT,3,0.0
2024-02-25,MOBILE BUS LANE VIOLATION,109,0.0
2024-02-25,NO STAND TAXI/FHV RELIEF STAND,47,0.0
2024-02-25,FRAUDULENT USE PARKING PERMIT,2,0.0
2024-02-26,MOBILE BUS LANE VIOLATION,440,0.0
2024-02-26,NO STAND TAXI/FHV RELIEF STAND,13,0.0
2024-02-26,FRAUDULENT USE PARKING PERMIT,9,0.0
2024-02-26,MISUSE PARKING PERMIT,6,0.0
2024-02-26,NO PARKING-EXC. DSBLTY PERMIT,1,0.0
2024-02-27,MOBILE BUS LANE VIOLATION,389,0.0
2024-02-27,MISUSE PARKING PERMIT,18,0.0
2024-02-27,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-27,NO PARKING-EXC. DSBLTY PERMIT,10,0.0
2024-02-27,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-02-28,MOBILE BUS LANE VIOLATION,448,0.0
2024-02-28,MISUSE PARKING PERMIT,21,0.0
2024-02-28,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-28,NO STAND TAXI/FHV RELIEF STAND,8,0.0
2024-02-28,NO PARKING-EXC. DSBLTY PERMIT,7,0.0
2024-02-29,MOBILE BUS LANE VIOLATION,445,0.0
2024-02-29,MISUSE PARKING PERMIT,27,0.0
2024-02-29,NO STAND TAXI/FHV RELIEF STAND,16,0.0
2024-02-29,FRAUDULENT USE PARKING PERMIT,12,0.0
2024-02-29,NO PARKING-EXC. DSBLTY PERMIT,8,0.0
2024-03-01,MOBILE BUS LANE VIOLATION,481,0.0
2024-03-01,MISUSE PARKING PERMIT,20,0.0
2024-03-01,FRAUDULENT USE PARKING PERMIT,19,0.0
2024-03-01,NO STAND TAXI/FHV RELIEF STAND,7,0.0
